Terminal;Moega;ID Vagão;Produto;Chegada_Trem;Data/Hora Encoste;Data/Hora Início Descarga;Data/Hora Fim Descarga
DDD;Moega LLL;1993306;Soja;20/01/2022 18:20;20/01/2022 20:35;20/01/2022 21:03;20/01/2022 21:09
DDD;Moega LLL;7829363;Soja;20/01/2022 18:20;20/01/2022 20:35;20/01/2022 21:04;20/01/2022 21:10
DDD;Moega LLL;2370563;Soja;20/01/2022 18:20;20/01/2022 20:35;20/01/2022 21:05;20/01/2022 21:11
DDD;Moega LLL;735843;Soja;20/01/2022 18:20;20/01/2022 20:35;20/01/2022 21:18;20/01/2022 21:23
DDD;Moega LLL;1317761;Soja;20/01/2022 18:20;20/01/2022 20:35;20/01/2022 21:19;20/01/2022 21:24
DDD;Moega LLL;8200748;Soja;20/01/2022 18:20;20/01/2022 20:35;20/01/2022 21:20;20/01/2022 21:25
DDD;Moega LLL;651662;Soja;20/01/2022 18:20;20/01/2022 20:35;20/01/2022 21:30;20/01/2022 21:35
DDD;Moega LLL;5253218;Soja;20/01/2022 18:20;20/01/2022 20:35;20/01/2022 21:31;20/01/2022 21:36
DDD;Moega LLL;7471175;Soja;20/01/2022 18:20;20/01/2022 20:35;20/01/2022 21:32;20/01/2022 21:41
DDD;Moega LLL;7496800;Soja;20/01/2022 18:20;20/01/2022 20:35;20/01/2022 21:45;20/01/2022 21:51
DDD;Moega LLL;6092515;Soja;20/01/2022 18:20;20/01/2022 20:35;20/01/2022 21:47;20/01/2022 21:52
DDD;Moega LLL;7699262;Soja;20/01/2022 18:20;20/01/2022 20:35;20/01/2022 21:47;20/01/2022 21:53
DDD;Moega LLL;903940;Soja;20/01/2022 18:20;20/01/2022 20:35;20/01/2022 21:57;20/01/2022 22:03
DDD;Moega LLL;6337320;Soja;20/01/2022 18:20;20/01/2022 20:35;20/01/2022 21:58;20/01/2022 22:05
DDD;Moega LLL;6661260;Soja;20/01/2022 18:20;20/01/2022 20:35;20/01/2022 21:59;20/01/2022 22:06
DDD;Moega LLL;2248414;Soja;20/01/2022 18:20;20/01/2022 20:35;20/01/2022 22:10;20/01/2022 22:17
DDD;Moega LLL;3734556;Soja;20/01/2022 18:20;20/01/2022 20:35;20/01/2022 22:11;20/01/2022 22:18
DDD;Moega LLL;6419114;Soja;20/01/2022 18:20;20/01/2022 20:35;20/01/2022 22:12;20/01/2022 22:19
DDD;Moega LLL;7771997;Soja;20/01/2022 18:20;20/01/2022 20:35;20/01/2022 22:23;20/01/2022 22:33
DDD;Moega LLL;1426028;Soja;20/01/2022 18:20;20/01/2022 20:35;20/01/2022 22:24;20/01/2022 22:36
DDD;Moega LLL;7156863;Soja;20/01/2022 18:20;20/01/2022 20:35;20/01/2022 22:25;20/01/2022 22:35
DDD;Moega LLL;6945623;Soja;20/01/2022 18:20;20/01/2022 20:35;20/01/2022 22:40;20/01/2022 22:48
DDD;Moega LLL;722308;Soja;20/01/2022 18:20;20/01/2022 20:35;20/01/2022 22:41;20/01/2022 22:49
DDD;Moega LLL;3759252;Soja;20/01/2022 18:20;20/01/2022 20:35;20/01/2022 22:43;20/01/2022 22:50
DDD;Moega LLL;6886212;Soja;20/01/2022 18:20;20/01/2022 20:35;20/01/2022 22:54;20/01/2022 23:10
DDD;Moega LLL;6285755;Soja;20/01/2022 18:20;20/01/2022 20:35;20/01/2022 22:54;20/01/2022 23:10
DDD;Moega LLL;1009515;Soja;20/01/2022 18:20;20/01/2022 20:35;20/01/2022 22:56;20/01/2022 23:10
DDD;Moega LLL;3609487;Soja;20/01/2022 18:20;20/01/2022 20:35;20/01/2022 23:10;20/01/2022 23:20
DDD;Moega LLL;1110600;Soja;20/01/2022 18:20;20/01/2022 20:35;20/01/2022 23:10;20/01/2022 23:20
